rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
6040,680,"beschränken","","","beschränke","","beschränkst","","beschränkt","beschränkte","","beschränkt","","beschränkte","","beschränk","beschränke","","beschränkt","",haben,"","","","","",""
6047,679,wiedererkennen,"","","erkenne wieder","","erkennst wieder","","erkennt wieder","erkannte wieder","",wiedererkannt,"","erkennte wieder","","erkenn wieder","erkenne wieder","","erkennt wieder","",haben,"","","","","",""
6049,679,erpressen,"","",erpresse,"",erpresst,"",erpresst,erpresste,"",erpresst,"",erpresste,"",erpress,erpresse,"",erpresst,"",haben,"","","","","",""
6055,678,vertuschen,"","",vertusche,"",vertuschst,"",vertuscht,vertuschte,"",vertuscht,"",vertuschte,"",vertusch,vertusche,"",vertuscht,"",haben,"","","","","",""
6056,678,ausweichen,"","","weiche aus","","weichst aus","","weicht aus","wich aus","",ausgewichen,"","wiche aus","","weiche aus","","","weicht aus","",sein,"","","","","",""
6061,678,verschlucken,"","",verschlucke,"",verschluckst,"",verschluckt,verschluckte,"",verschluckt,"",verschluckte,"",verschluck,verschlucke,"",verschluckt,"",haben,"","","","","",""
6068,677,verpfeifen,"","",verpfeife,"",verpfeifst,"",verpfeift,verpfiff,"",verpfiffen,"",verpfiffe,"",verpfeif,verpfeife,"",verpfeift,"",haben,"","","","","",""
6084,676,zunehmen,X,"","nehme zu","","nimmst zu","","nimmt zu","nahm zu","",zugenommen,"","nähme zu","","nimm zu","","","nehmt zu","",haben,"","","Population growth-SLO.svg|thumb|1|Die [[Bevölkerung]] hat als Resultat von [[Geburt]]en, [[Tod]]en und [[Migration]]en in [[Slowenien]] zwischen 1997 und 2008 ''zugenommen.''","Buclin.jpg|thumb|3|Er hat [[zuviel]] ''zugenommen,'' er sollte seiner [[Gesundheit]] [[zuliebe]] wieder [[abnehmen]].","",""
6095,674,rahmen,"","",rahme,"",rahmst,"",rahmt,rahmte,"",gerahmt,"",rahmte,"",rahm,rahme,"",rahmt,"",haben,"","","","","",""
6095,674,rahmen,"","",rahme,"",rahmst,"",rahmt,rahmte,"",gerahmt,"",rahmte,"",rahm,rahme,"",rahmt,"",haben,"","","","","",""
6101,673,hausen,"","",hause,"",haust,"",haust,hauste,"",gehaust,"",hauste,"",hause,"","",haust,"",haben,"","","","","",""
6106,672,umstellen,"","","stelle um","","stellst um","","stellt um","stellte um","",umgestellt,"","stellte um","","stell um","stelle um","","stellt um","",haben,"","","","","",""
6106,672,umstellen,"","",umstelle,"",umstellst,"",umstellt,umstellte,"",umstellt,"",umstellte,"",umstelle,umstell,"",umstellt,"",haben,"","","","","",""
6110,672,speichern,"","",speichere,"",speicherst,"",speichert,speicherte,"",gespeichert,"",speicherte,"",speichere,"","",speichert,"",haben,"","","","","",""
6114,672,"erkälten","","","erkälte","","erkältest","","erkältet","erkältete","","erkältet","","erkältete","","erkälte","","","erkältet","",haben,"","","","","",""
6126,671,realisieren,"","",realisiere,"",realisierst,"",realisiert,realisierte,"",realisiert,"",realisierte,"",realisiere,realisier,"",realisiert,"",haben,"","","","","",""
6134,670,erwidern,"","",erwidere,"",erwiderst,"",erwidert,erwiderte,"",erwidert,"",erwiderte,"",erwidere,"","",erwidert,"",haben,"","","","","",""
6136,669,nachgeben,"","","gebe nach","","gibst nach","","gibt nach","gab nach","",nachgegeben,"","gäbe nach","","gib nach","","","gebt nach","",haben,"","","","","",""
6142,669,abgehen,"","","gehe ab","","gehst ab","","geht ab","ging ab","",abgegangen,"","ginge ab","","geh ab","","","geht ab","",sein,"","Tapete_löst_sich.jpg|230px|2|Die Tapete ''geht'' von der Wand ''ab''.","","","",""
6147,668,wurzeln,"","",wurzele,"",wurzelst,"",wurzelt,wurzelte,"",gewurzelt,"",wurzelte,"",wurzel,wurzle,"",wurzelt,"",haben,"","","","","",""
6149,667,einsehen,"","","sehe ein","","siehst ein","","sieht ein","sah ein","",eingesehen,"","sähe ein","","sieh ein","","","seht ein","",haben,"","","","","",""
6153,667,"versäumen","","","versäume","","versäumst","","versäumt","versäumte","","versäumt","","versäumte","","versäume","","","versäumt","",haben,"","","","","",""
6168,664,murmeln,"","",murmle,murmel,murmelst,"",murmelt,murmelte,"",gemurmelt,"",murmelte,"",murmle,murmel,"",murmelt,"",haben,"","","","","",""
6168,664,murmeln,"","",murmle,murmel,murmelst,"",murmelt,murmelte,"",gemurmelt,"",murmelte,"",murmle,murmel,"",murmelt,"",haben,"","Young boy playing marbles - Jacksonville (14849608187).jpg|thumb|1|ein [[Junge]] ''murmelt''","","","",""
6169,664,aufladen,"","","lade auf","","lädst auf","","lädt auf","lud auf","",aufgeladen,"","lüde auf","","lade auf","","","ladet auf","",haben,"","","","","",""
6175,663,schuften,"","",schufte,"",schuftest,"",schuftet,schuftete,"",geschuftet,"",schuftete,"",schufte,schuft,"",schuftet,"",haben,"","","","","",""
6178,663,fernhalten,"","","halte fern","","hältst fern","","hält fern","hielt fern","",ferngehalten,"","hielte fern","","halt fern","halte fern","","haltet fern","",haben,"","","","","",""
6179,662,lutschen,"","",lutsche,"",lutschst,lutscht,lutscht,lutschte,"",gelutscht,"",lutschte,"",lutsch,lutsche,"",lutscht,"",haben,"","","","","",""
6203,659,bereden,"","",berede,"",beredest,"",beredet,beredete,"",beredet,"",beredete,"",bered,berede,"",beredet,"",haben,"","","","","",""
6210,657,vorsehen,"","","sehe vor","","siehst vor","","sieht vor","sah vor","",vorgesehen,"","sähe vor","","sieh vor","","","seht vor","",haben,"","","","","",""
6214,657,aufzeichnen,"","","zeichne auf","","zeichnest auf","","zeichnet auf","zeichnete auf","",aufgezeichnet,"","zeichnete auf","","zeichne auf","","","zeichnet auf","",haben,"","","","","",""
6217,656,heimkommen,"","","komme heim","","kommst heim","","kommt heim","kam heim","",heimgekommen,"","käme heim","","komm heim","komme heim","","kommt heim","",sein,"","","","","",""
6219,656,summen,"","",summe,"",summst,"",summt,summte,"",gesummt,"",summte,"",summe,"","",summt,"",haben,"","","","","",""
6220,656,borgen,"","",borge,"",borgst,"",borgt,borgte,"",geborgt,"",borgte,"",borge,borg,"",borgt,borget,haben,"","","","","",""
6226,655,dastehen,"","","stehe da","","stehst da","","steht da","stand da","",dagestanden,"","stünde da","","steh da","","","steht da","",haben,sein,"","","","",""
6237,653,peitschen,"","",peitsche,"",peitschst,peitscht,peitscht,peitschte,"",gepeitscht,"",peitschte,"",peitsch,peitsche,"",peitscht,"",haben,"","","","","",""
6243,652,involvieren,"","",involviere,"",involvierst,"",involviert,involvierte,"",involviert,"",involvierte,"",involvier,involviere,"",involviert,"",haben,"","","","","",""
6247,651,"würgen","","","würge","","würgst","","würgt","würgte","","gewürgt","","würgte","","würge","","","würgt","",haben,"","","","","",""
6261,649,loslegen,"","","lege los","","legst los","","legt los","legte los","",losgelegt,"","legte los","","leg los","lege los","","legt los","",haben,"","","","","",""
6265,649,verschreiben,"","",verschreibe,"",verschreibst,"",verschreibt,verschrieb,"",verschrieben,"",verschriebe,"",verschreibe,verschreib,"",verschreibt,"",haben,"","","","","",""
6281,647,"aufführen","","","führe auf","","führst auf","","führt auf","führte auf","","aufgeführt","","führte auf","","führ auf","führe auf","","führt auf","",haben,"","","","","",""
6284,647,"überweisen","","","überweise","","überweist","","überweist","überwies","","überwiesen","","überwiese","","überweise","überweis","","überweist","",haben,"","","","","",""
6286,646,"herhören","","","höre her","","hörst her","","hört her","hörte her","","hergehört","","hörte her","","hör her","höre her","","hört her","",haben,"","","","","",""
6295,645,beistehen,"","","stehe bei","","stehst bei","","steht bei","stand bei","",beigestanden,"","stände bei","stünde bei","steh bei","stehe bei","","steht bei","",haben,"","","","","",""
6301,643,piepsen,"","",piepse,"",piepst,"",piepst,piepste,"",gepiepst,"",piepste,"",piepse,"","",piepst,"",haben,"","","","","",""
6302,643,einbauen,"","","baue ein","","baust ein","","baut ein","baute ein","",eingebaut,"","baute ein","","bau ein","baue ein","","baut ein","",haben,"","","","","",""
6304,643,bestehlen,"","",bestehle,"",bestiehlst,"",bestiehlt,bestahl,"",bestohlen,"","bestähle","bestöhle",bestiehl,bestehle,"",bestehlt,"",haben,"","","","","",""
6314,641,zerquetschen,"","",zerquetsche,"",zerquetschst,zerquetscht,zerquetscht,zerquetschte,"",zerquetscht,"",zerquetschte,"",zerquetsch,zerquetsche,"",zerquetscht,"",haben,"","","","","",""
6331,639,schnallen,"","",schnalle,"",schnallst,"",schnallt,schnallte,"",geschnallt,"",schnallte,"",schnall,schnalle,"",schnallt,"",haben,"","","","","",""
6332,638,mitgehen,X,"","gehe mit","","gehst mit","","geht mit","ging mit","",mitgegangen,"","ginge mit","","geh mit","gehe mit","","geht mit","",sein,"","","","","",""
6335,637,einstecken,"","","stecke ein","","steckst ein","","steckt ein","steckte ein","",eingesteckt,"","steckte ein","","steck ein","stecke ein","","steckt ein","",haben,"","Afghan man at the ballot box during Loya jirga.jpg|210px|1|ein Wahlzettel wird in die Wahlurne ''eingesteckt''","","","",""
6342,636,vormachen,"","","mache vor","","machst vor","","macht vor","machte vor","",vorgemacht,"","machte vor","","mach vor","mache vor","","macht vor","",haben,"","","","","",""
6346,635,erkundigen,"","",erkundige,"",erkundigst,"",erkundigt,erkundigte,"",erkundigt,"",erkundigte,"",erkundige,"","",erkundigt,"",haben,"","","","","",""
6347,635,"zurückbleiben","","","bleibe zurück","","bleibst zurück","","bleibt zurück","blieb zurück","","zurückgeblieben","","bliebe zurück","","bleib zurück","bleibe zurück","","bleibt zurück","",sein,"","","","","",""
6371,632,"fördern","","","fördere","","förderst","","fördert","förderte","","gefördert","","förderte","","fördere","","","fördert","",haben,"","","","","",""
6375,631,berauben,"","",beraube,"",beraubst,"",beraubt,beraubte,"",beraubt,"",beraubte,"",beraub,beraube,"",beraubt,"",haben,"","","","","",""
6377,631,aufschlitzen,"","","schlitze auf","","schlitzt auf","","schlitzt auf","schlitzte auf","",aufgeschlitzt,"","schlitzte auf","","schlitz auf","schlitze auf","","schlitzt auf","",haben,"","","","","",""
6393,629,"repräsentieren","","","repräsentiere","","repräsentierst","","repräsentiert","repräsentierte","","repräsentiert","","repräsentierte","","repräsentiere","repräsentier","","repräsentiert","",haben,"","","","","",""
6399,627,erfassen,"","",erfasse,"",erfasst,"",erfasst,erfasste,"",erfasst,"",erfasste,"",erfasse,erfass,"",erfasst,"",haben,"","","","","",""
6415,626,"beängstigen","","","beängstige","","beängstigst","","beängstigt","beängstigte","","beängstigt","","beängstigte","","beängstig","beängstige","","beängstigt","",haben,"","","","","",""
6417,626,"verblüffen","","","verblüffe","","verblüffst","","verblüfft","verblüffte","","verblüfft","","verblüffte","","verblüffe","","","verblüfft","",haben,"","","","","",""
6430,623,"hüpfen","","","hüpfe","","hüpfst","","hüpft","hüpfte","","gehüpft","","hüpfte","","hüpfe","","","hüpft","",sein,"","Impala leaping from water.jpg|mini|1|ein Impala ''hüpft'' durch das flache Wasser","","Poweriser, Brněnské běhy 2010.ogv|mini|1|[[auf]] und [[ab]] ''hüpfen'' mit [[mechanisch]]er [[Unterstützung]]","",""
6433,623,"plündern","","","plündere","","plünderst","","plündert","plünderte","","geplündert","","plünderte","","plündre","plündere","","plündert","",haben,"","","","","",""
6435,622,erbitten,"","",erbitte,"",erbittest,"",erbittet,erbat,"",erbeten,"","erbäte","",erbitte,"","",erbittet,"",haben,"","","","","",""
6445,621,"spülen","","","spüle","","spülst","","spült","spülte","","gespült","","spülte","","spül","spüle","","spült","",haben,"","","Washing dishes at LGC.jpg|mini|1|ein Arbeiter ''spült'' Geschirr","","",""
6453,619,verriegeln,"","",verriegle,verriegele,verriegelst,"",verriegelt,verriegelte,"",verriegelt,"",verriegelte,"",verriegle,verriegele,"",verriegelt,"",haben,"","","","","",""
6458,619,schiefgehen,X,"","","","","","geht schief","ging schief","",schiefgegangen,"","ginge schief","","","","","","",sein,"","","Aus2.jpg|thumb|1|„Oh, oh, hoffentlich ''geht'' das nicht ''schief!''“","Biplane crash in South Texas.jpg|thumb|1|diese [[Landung]] ''ging schief''","",""
6463,618,verfallen,"","",verfalle,"","verfällst","","verfällt",verfiel,"",verfallen,"",verfiele,"",verfall,"","",verfallt,"",sein,"","","","","",""
6467,618,wandeln,"","",wandle,wandele,wandelst,"",wandelt,wandelte,"",gewandelt,"",wandelte,"",wandle,wandele,"",wandelt,"",sein,haben,"","","","",""
6472,617,rippen,"","",rippe,"",rippst,"",rippt,rippte,"",gerippt,"",rippte,"",ripp,rippe,"",rippt,"",haben,"","","","","",""
6480,616,suspendieren,"","",suspendiere,"",suspendierst,"",suspendiert,suspendierte,"",suspendiert,"",suspendierte,"",suspendiere,suspendier,"",suspendiert,"",haben,"","","","","",""
6483,616,"erlösen","","","erlöse","","erlöst","","erlöst","erlöste","","erlöst","","erlöste","","erlös","erlöse","","erlöst","",haben,"","","","","",""
6485,616,"erhängen","","","erhänge","","erhängst","","erhängt","erhängte","","erhängt","","erhängte","","erhäng","erhänge","","erhängt","",haben,"","","","","",""
6486,616,versinken,"","",versinke,"",versinkst,"",versinkt,versank,"",versunken,"","versänke","",versinke,versink,"",versinkt,"",sein,"","","","","",""
6487,616,vorziehen,"","","ziehe vor","","ziehst vor","","zieht vor","zog vor","",vorgezogen,"","zöge vor","","zieh vor","","","zieht vor","",haben,"","","","","",""
6498,614,widerfahren,X,"","","","","","widerfährt",widerfuhr,"",widerfahren,"","widerführe","","","","","","",sein,"","","","","",""
6508,613,spionieren,"","",spioniere,"",spionierst,"",spioniert,spionierte,"",spioniert,"",spionierte,"",spionier,spioniere,"",spioniert,"",haben,"","","","","",""
6517,612,schleifen,"","",schleife,"",schleifst,"",schleift,schleifte,"",geschleift,"",schleifte,"",schleife,"","",schleift,"",haben,"","","","","",""
6517,612,schleifen,X,"",schleife,"",schleifst,"",schleift,schliff,"",geschliffen,"",schliffe,"",schleife,"","",schleift,"",haben,"","","","","",""
6527,610,kritisieren,"","",kritisiere,"",kritisierst,"",kritisiert,kritisierte,"",kritisiert,"",kritisierte,"",kritisiere,kritisier,"",kritisiert,"",haben,"","","","","",""
6528,610,qualifizieren,"","",qualifiziere,"",qualifizierst,"",qualifiziert,qualifizierte,"",qualifiziert,"",qualifizierte,"",qualifiziere,qualifizier,"",qualifiziert,"",haben,"","","","","",""
6549,608,kneifen,"","",kneife,"",kneifst,"",kneift,kniff,"",gekniffen,"",kniffe,"",kneife,kneif,"",kneift,"",haben,"","","","","",""
6555,607,pumpen,"","",pumpe,"",pumpst,"",pumpt,pumpte,"",gepumpt,"",pumpte,"",pump,pumpe,"",pumpt,"",haben,"","","","","",""
6556,607,wimmeln,"","",wimmle,wimmele,wimmelst,"",wimmelt,wimmelte,"",gewimmelt,"",wimmelte,"",wimmel,wimmle,"",wimmelt,"",haben,"","","","","",""
6563,605,protestieren,"","",protestiere,"",protestierst,"",protestiert,protestierte,"",protestiert,"",protestierte,"",protestiere,protestier,"",protestiert,"",haben,"","","","","",""
6575,605,beitragen,"","","trage bei","","trägst bei","","trägt bei","trug bei","",beigetragen,"","trüge bei","","trag bei","trage bei","","tragt bei","",haben,"","","","","",""
6583,603,aufdecken,"","","decke auf","","deckst auf","","deckt auf","deckte auf","",aufgedeckt,"","deckte auf","","deck auf","decke auf","","deckt auf","",haben,"","","","","",""
6596,602,erniedrigen,"","",erniedrige,"",erniedrigst,"",erniedrigt,erniedrigte,"",erniedrigt,"",erniedrigte,"",erniedrige,"","",erniedrigt,"",haben,"","","","","",""
6601,601,punkten,"","",punkte,"",punktest,"",punktet,punktete,"",gepunktet,"",punktete,"",punkt,punkte,"",punktet,"",haben,"","","","","",""
6609,600,"abdrücken","","","drücke ab","","drückst ab","","drückt ab","drückte ab","","abgedrückt","","drückte ab","","drück ab","drücke ab","","drückt ab","",haben,"","","","","",""
6610,600,bezeugen,"","",bezeuge,"",bezeugst,"",bezeugt,bezeugte,"",bezeugt,"",bezeugte,"",bezeug,bezeuge,"",bezeugt,"",haben,"","","","","",""
6623,598,zaubern,"","",zaubere,"",zauberst,"",zaubert,zauberte,"",gezaubert,"",zauberte,"",zauber,zaubere,"",zaubert,"",haben,"","Makmagic1@gmail.comrr.jpg|thumb|2|Hier wird ''gezaubert,'' dass eine [[Person]] in der [[Luft]] [[schweben|schwebt]]","","","",""
6631,597,ringen,"","",ringe,"",ringst,"",ringt,rang,"",gerungen,"","ränge","",ring,"","",ringt,"",haben,"","","","","",""
6635,595,rasten,"","",raste,"",rastest,"",rastet,rastete,"",gerastet,"",rastete,"",rast,raste,"",rastet,"",haben,"","","","","",""
6648,594,"verschlüsseln","","","verschlüssle","verschlüssele","verschlüsselst","","verschlüsselt","verschlüsselte","","verschlüsselt","","verschlüsselte","","verschlüssle","verschlüssele","","verschlüsselt","",haben,"","","","","",""
6649,594,eintragen,"","","trage ein","","trägst ein","","trägt ein","trug ein","",eingetragen,"","trüge ein","","trage ein","","","tragt ein","",haben,"","","","","",""
6650,594,perlen,"","",perle,"",perlst,"",perlt,perlte,"",geperlt,"",perlte,"",perl,perle,"",perlt,"",haben,sein,"Sektglas-mit-Inhalt.jpg|mini|3|ein ''perlendes'' Sektglas","","","",""
6652,593,erwerben,"","",erwerbe,"",erwirbst,"",erwirbt,erwarb,"",erworben,"","erwürbe","",erwirb,"","",erwerbt,erwerbet,haben,"","","","","",""
6656,593,tanken,"","",tanke,"",tankst,"",tankt,tankte,"",getankt,"",tankte,"",tank,"","",tankt,"",haben,"","","","","",""
6660,592,ausnehmen,"","","nehme aus","","nimmst aus","","nimmt aus","nahm aus","",ausgenommen,"","nähme aus","","nimm aus","","","nehmt aus","",haben,"","","","","",""
6666,591,untertauchen,"","","tauche unter","","tauchst unter","","taucht unter","tauchte unter","",untergetaucht,"","tauchte unter","","tauch unter","tauche unter","","taucht unter","",haben,sein,"","","","",""
6667,591,abwenden,"","","wende ab","","wendest ab","","wendet ab","wendete ab","wandte ab",abgewendet,abgewandt,"wendete ab","","wende ab","","","wendet ab","",haben,"","","","","",""
6672,591,improvisieren,"","",improvisiere,"",improvisierst,"",improvisiert,improvisierte,"",improvisiert,"",improvisierte,"",improvisiere,improvisier,"",improvisiert,"",haben,"","","","","",""
6679,590,durchdringen,"","","dringe durch","","dringst durch","","dringt durch","drang durch","",durchgedrungen,"","dränge durch","","dring durch","dringe durch","","dringt durch","",sein,"","","","","",""
6679,590,durchdringen,"","",durchdringe,"",durchdringst,"",durchdringt,durchdrang,"",durchdrungen,"","durchdränge","",durchdring,durchdringe,"",durchdringt,"",haben,"","","","","",""
6683,590,schneien,"","",schneie,"",schneist,"",schneit,schneite,"",geschneit,"",schneite,"",schnei,schneie,"",schneit,"",haben,sein,"","","","",""
6689,589,"bedrücken","","","bedrücke","","bedrückst","","bedrückt","bedrückte","","bedrückt","","bedrückte","","bedrück","bedrücke","","bedrückt","",haben,"","","","","",""
6693,588,ernten,"","",ernte,"",erntest,"",erntet,erntete,"",geerntet,"",erntete,"",ernt,ernte,"",erntet,"",haben,"","","","","",""
6695,588,klarmachen,"","","mache klar","","machst klar","","macht klar","machte klar","",klargemacht,"","machte klar","","mach klar","mache klar","","macht klar","",haben,"","","","","",""
6701,587,"verlängern","","","verlängere","","verlängerst","","verlängert","verlängerte","","verlängert","","verlängerte","","verlängere","","","verlängert","",haben,"","","","","",""
6706,587,killen,"","","","","","",killt,killte,"",gekillt,"",killte,"","","","","","",haben,"","Shivering sail killendes Segel.gif|mini|1|ein [[Segel]] ''killt'' im [[Wind]]","","","",""
6706,587,killen,"","",kille,"",killst,"",killt,killte,"",gekillt,"",killte,"",kille,"","",killt,"",haben,"","","","","",""
6717,585,konfrontieren,"","",konfrontiere,"",konfrontierst,"",konfrontiert,konfrontierte,"",konfrontiert,"",konfrontierte,"",konfrontiere,konfrontier,"",konfrontiert,"",haben,"","","","","",""
6718,585,stabilisieren,"","",stabilisiere,"",stabilisierst,"",stabilisiert,stabilisierte,"",stabilisiert,"",stabilisierte,"",stabilisier,stabilisiere,"",stabilisiert,"",haben,"","","","","",""
6721,585,schimpfen,"","",schimpfe,"",schimpfst,"",schimpft,schimpfte,"",geschimpft,"",schimpfte,"",schimpf,"","",schimpft,"",haben,"","","","","",""
6722,585,"entzünden","","","entzünde","","entzündest","","entzündet","entzündete","","entzündet","","entzündete","","entzünd","entzünde","","entzündet","",haben,"","Candle and Match.ogg|mini|1|ein [[Streichholz]] wird an einer [[Kerze]] ''entzündet''","","","",""
6723,585,durchsetzen,"","",durchsetze,"",durchsetzt,"",durchsetzt,durchsetzte,"",durchsetzt,"",durchsetzte,"",durchsetze,"","",durchsetzt,"",haben,"","Azurit mit Quarzschnüren - Grube Königstiel bei Braubach.jpg|250px|2|[[Quarz]] ''durchsetzt'' diesen [[Azurit]]","","","",""
6723,585,durchsetzen,"","","setze durch","","setzt durch","","setzt durch","setzte durch","",durchgesetzt,"","setzte durch","","setze durch","","","setzt durch","",haben,"","","","","",""
6726,584,austricksen,"","","trickse aus","","trickst aus","","trickst aus","trickste aus","",ausgetrickst,"","trickste aus","","tricks aus","trickse aus","","trickst aus","",haben,"","","","","",""
6728,584,auskommen,"","","komme aus","","kommst aus","","kommt aus","kam aus","",ausgekommen,"","käme aus","","komme aus","","","kommt aus","",sein,"","","","","",""
6732,584,"übermitteln","","","übermittle","","übermittelst","","übermittelt","übermittelte","","übermittelt","","übermittelte","","übermittle","","","übermittelt","",haben,"","","","","",""
6733,583,bestreiten,"","",bestreite,"",bestreitest,"",bestreitet,bestritt,"",bestritten,"",bestritte,"",bestreite,"","",bestreitet,"",haben,"","","","","",""
6734,583,ausbreiten,"","","breite aus","","breitest aus","","breitet aus","breitete aus","",ausgebreitet,"","breitete aus","","breite aus","","","breitet aus","",haben,"","","","","",""
6735,583,windeln,"","",windle,windele,windelst,"",windelt,windelte,"",gewindelt,"",windelte,"",windle,windele,"",windelt,"",haben,"","","","","",""
6737,583,ohrfeigen,"","",ohrfeige,"",ohrfeigst,"",ohrfeigt,ohrfeigte,"",geohrfeigt,"",ohrfeigte,"",ohrfeige,"","",ohrfeigt,"",haben,"","","","","",""
6738,582,"verführen","","","verführe","","verführst","","verführt","verführte","","verführt","","verführte","","verführe","","","verführt","",haben,"","","","","",""
6738,582,"verführen","","","verführe","","verführst","","verführt","verführte","","verführt","","verführte","","verführe","","","verführt","",haben,"","","","","",""
6746,582,"pflücken","","","pflücke","","pflückst","","pflückt","pflückte","","gepflückt","","pflückte","","pflücke","pflück","","pflückt","",haben,"","","Teapickers-near-kericho.JPG|thumb|1|[[Teepflücker]] ''pflücken'' [[Teeblatt|Teeblätter]] auf einer [[Plantage]] in [[Kenia]].","Picking Cherries.jpg|thumb|1|[[Kirsche]]n ''pflücken'' [[hoch]] [[oben]] im [[Baum]]","",""
6767,579,zerren,"","",zerre,"",zerrst,"",zerrt,zerrte,"",gezerrt,"",zerrte,"",zerr,zerre,"",zerrt,"",haben,"","","","","",""
6769,579,losen,"","",lose,"",lost,"",lost,loste,"",gelost,"",loste,"",lose,"","",lost,"",haben,"","","","","",""
6769,579,losen,"","",lose,"",lost,"",lost,loste,"",gelost,"",loste,"",lose,"","",lost,"",haben,"","The British Army in North-west Europe 1944-45 BU1536.jpg|thumb|1|[[Soldat]]en der [[britisch]]en [[Armee]] ''losen'' im Januar 1945 um ihren [[Heimaturlaub]]","","","",""
6776,578,wahrnehmen,"","","nehme wahr","","nimmst wahr","","nimmt wahr","nahm wahr","",wahrgenommen,"","nähme wahr","","nimm wahr","","","nehmt wahr","",haben,"","Bokeh a Milano.jpg|thumb|1|Wenn man eine [[Brille]] [[brauchen|braucht]] und keine [[haben|hat]], kann man [[nichts]] mehr [[scharf]] ''wahrnehmen.''","","","",""
6777,578,abschlachten,"","","schlachte ab","","schlachtest ab","","schlachtet ab","schlachtete ab","",abgeschlachtet,"","schlachtete ab","","schlachte ab","","","schlachtet ab","",haben,"","","","","",""
6778,578,"züchten","","","züchte","","züchtest","","züchtet","züchtete","","gezüchtet","","züchtete","","züchte","","","züchtet","",haben,"","","","","",""
6779,577,"anstoßen","","","stoße an","stoß an","stößt an","","stößt an","stieß an","","angestoßen","","stieße an","","stoße an","stoß an","","stoßt an","",haben,sein,"","","","",""
6801,575,mitteln,"","",mittle,mittel,mittelst,"",mittelt,mittelte,"",gemittelt,"",mittelte,"",mittle,mittel,"",mittelt,"",haben,"","","","","",""
6802,575,auferstehen,"","",auferstehe,"erstehe auf",auferstehst,"erstehst auf",aufersteht,auferstand,"erstand auf",auferstanden,"","auferstünde","erstünde auf",aufersteh,auferstehe,"",aufersteht,"ersteht auf",sein,"","","","","",""
6809,574,auffahren,"","","fahre auf","","fährst auf","","fährt auf","fuhr auf","",aufgefahren,"","führe auf","","fahr auf","fahre auf","","fahrt auf","",sein,"","","","","",""
6812,574,"aufwärmen","","","wärme auf","","wärmst auf","","wärmt auf","wärmte auf","","aufgewärmt","","wärmte auf","","wärme auf","","","wärmt auf","",haben,"","","","","",""
6819,573,absuchen,"","","suche ab","","suchst ab","","sucht ab","suchte ab","",abgesucht,"","suchte ab","","such ab","suche ab","","sucht ab","",haben,"","","","","",""
6827,573,steigern,"","",steigere,"",steigerst,"",steigert,steigerte,"",gesteigert,"",steigerte,"",steiger,steigere,"",steigert,"",haben,"","","","","",""
6828,573,hocken,"","",hocke,"",hockst,"",hockt,hockte,"",gehockt,"",hockte,"",hock,hocke,"",hockt,"",haben,sein,"","","","",""
6829,572,"gebühren","","","gebühre","","gebührst","","gebührt","gebührte","","gebührt","","gebührte","","gebühre","","","gebührt","",haben,"","","","","",""
6843,571,"würdigen","","","würdige","","würdigst","","würdigt","würdigte","","gewürdigt","","würdigte","","würdig","würdige","","würdigt","",haben,"","Hans Bethe and Swedish King.jpg|thumb|1|Das Nobelpreiskommitee ''würdigt'' die [[wissenschaftlich]]en [[Leistung]]en von [[w:Hans Bethe|Hans Bethe]]","","","",""
6851,570,scannen,"","",scanne,"",scannst,"",scannt,scannte,"",gescannt,"",scannte,"",scanne,scann,"",scannt,"",haben,"","","","","",""
6864,568,verjagen,"","",verjage,"",verjagst,"",verjagt,verjagte,"",verjagt,"",verjagte,"",verjag,verjage,"",verjagt,"",haben,"","","","","",""
6872,567,hinziehen,"","","ziehe hin","","ziehst hin","","zieht hin","zog hin","",hingezogen,"","zöge hin","","ziehe hin","zieh hin","","zieht hin","",haben,"","","","","",""
6872,567,hinziehen,"","","ziehe hin","","ziehst hin","","zieht hin","zog hin","",hingezogen,"","zöge hin","","ziehe hin","zieh hin","","zieht hin","",sein,"","","","","",""
6874,567,verbrauchen,"","",verbrauche,"",verbrauchst,"",verbraucht,verbrauchte,"",verbraucht,"",verbrauchte,"",verbrauche,"","",verbraucht,"",haben,"","","","","",""
6879,567,abbiegen,"","","biege ab","","biegst ab","","biegt ab","bog ab","",abgebogen,"","böge ab","","bieg ab","biege ab","","biegt ab","",haben,sein,"","","","",""
6896,564,lauschen,"","",lausche,"",lauschst,lauscht,lauscht,lauschte,"",gelauscht,"",lauschte,"",lausche,lausch,"",lauscht,"",haben,"","Rémy Cogghe Madame reçoit 1908 without frame.jpg|thumb|1|die ''lauschen'' an der [[Tür]]","","","",""
6902,563,hungern,"","",hungere,"",hungerst,"",hungert,hungerte,"",gehungert,"",hungerte,"",hungere,"","",hungert,"",haben,"","Starved girl.jpg|thumb|2|Eine von 800 Millionen auf der [[Erde]], die [[permanent]] ''hungern'' muss","","","",""
