rank,freq,Wort,Wortart,"Hörbeispiele",Synonyme,"Gegenwörter","Übersetzung",pronunciation_url
4663,964,ideal,Adjektiv,De-ideal.ogg,NYI,NYI,ideal,https://commons.wikimedia.org/wiki/Special:FilePath/De-ideal.ogg
4665,963,antreiben,Verb,De-antreiben.ogg,NYI,NYI,"urge, drive",https://commons.wikimedia.org/wiki/Special:FilePath/De-antreiben.ogg
4668,962,zumachen,Verb,De-zumachen.ogg,NYI,NYI,"close, shut, hurry up",https://commons.wikimedia.org/wiki/Special:FilePath/De-zumachen.ogg
4669,962,veranstalten,Verb,De-veranstalten.ogg,NYI,NYI,organize,https://commons.wikimedia.org/wiki/Special:FilePath/De-veranstalten.ogg
4670,961,Zeugin,Substantiv,De-Zeugin.ogg,NYI,NYI,witness,https://commons.wikimedia.org/wiki/Special:FilePath/De-Zeugin.ogg
4671,961,schwierige,"Deklinierte Form","",NYI,NYI,"",""
4672,960,faul,Adjektiv,De-faul.ogg,NYI,NYI,"rotten, idle, lazy, slothful",https://commons.wikimedia.org/wiki/Special:FilePath/De-faul.ogg
4673,960,herbst,"Konjugierte Form","",NYI,NYI,"",""
4674,960,Kaninchen,Substantiv,De-Kaninchen.ogg,NYI,NYI,"rabbit, bunny",https://commons.wikimedia.org/wiki/Special:FilePath/De-Kaninchen.ogg
4675,960,Gemeinschaft,Substantiv,De-Gemeinschaft.ogg,NYI,NYI,community,https://commons.wikimedia.org/wiki/Special:FilePath/De-Gemeinschaft.ogg
4676,960,blutig,Adjektiv,De-blutig.ogg,NYI,NYI,bloody,https://commons.wikimedia.org/wiki/Special:FilePath/De-blutig.ogg
4677,960,Halloween,Substantiv,De-Halloween.ogg,NYI,NYI,Halloween,https://commons.wikimedia.org/wiki/Special:FilePath/De-Halloween.ogg
4678,960,global,Adjektiv,De-global.ogg,NYI,NYI,global,https://commons.wikimedia.org/wiki/Special:FilePath/De-global.ogg
4680,959,schmerzhaft,Adjektiv,De-schmerzhaft.ogg,NYI,NYI,painful,https://commons.wikimedia.org/wiki/Special:FilePath/De-schmerzhaft.ogg
4681,959,Ereignis,Substantiv,De-Ereignis.ogg,NYI,NYI,"event, occurrence",https://commons.wikimedia.org/wiki/Special:FilePath/De-Ereignis.ogg
4682,958,nirgendwohin,Adverb,"",NYI,NYI,"",""
4684,958,Schwachkopf,Substantiv,De-Schwachkopf.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Schwachkopf.ogg
4685,958,Tokio,Toponym,"",NYI,NYI,Tokyo,""
4686,957,tank,"Konjugierte Form","",NYI,NYI,"",""
4687,957,kritisch,Adjektiv,De-kritisch.ogg,NYI,NYI,"critical, crucial, censorious",https://commons.wikimedia.org/wiki/Special:FilePath/De-kritisch.ogg
4688,957,schwitzen,Verb,De-schwitzen.ogg,NYI,NYI,sweat,https://commons.wikimedia.org/wiki/Special:FilePath/De-schwitzen.ogg
4689,957,ansetzen,Verb,"",NYI,NYI,"sew|sew something on something, put on weight, start, call|call a meeting/election/rehearsal, set|set something at something, calculate|calculate something at something",""
4690,957,"Mitgefühl",Substantiv,"De-Mitgefühl.ogg",NYI,NYI,"sympathy, compassion","https://commons.wikimedia.org/wiki/Special:FilePath/De-Mitgefühl.ogg"
4691,957,jubel,"Konjugierte Form","",NYI,NYI,"",""
4692,957,Top,Substantiv,"",NYI,NYI,"tube top",""
4693,957,Lars,Vorname,De-Lars.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Lars.ogg
4694,957,angefasst,"Partizip II",De-angefasst.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-angefasst.ogg
4695,956,Vanessa,Vorname,"De-at Vanessa.ogg",NYI,NYI,Vanessa,"https://commons.wikimedia.org/wiki/Special:FilePath/De-at Vanessa.ogg"
4696,956,Baseball,Substantiv,De-Baseball.ogg,NYI,NYI,"baseball, base, ball, baseball",https://commons.wikimedia.org/wiki/Special:FilePath/De-Baseball.ogg
4697,956,schmieren,Verb,De-schmieren.ogg,NYI,NYI,"spread, lubricate, scribble, scrawl, bribe",https://commons.wikimedia.org/wiki/Special:FilePath/De-schmieren.ogg
4698,956,beeinflussen,Verb,De-beeinflussen.ogg,NYI,NYI,influence,https://commons.wikimedia.org/wiki/Special:FilePath/De-beeinflussen.ogg
4699,955,"Gläser","Deklinierte Form","De-Gläser.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Gläser.ogg"
4702,954,Anzahl,Substantiv,De-Anzahl.ogg,NYI,NYI,number,https://commons.wikimedia.org/wiki/Special:FilePath/De-Anzahl.ogg
4703,954,Frisur,Substantiv,De-Frisur.ogg,NYI,NYI,haircut,https://commons.wikimedia.org/wiki/Special:FilePath/De-Frisur.ogg
4704,954,Paula,Vorname,De-Paula.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Paula.ogg
4706,954,Nummern,"Deklinierte Form",De-Nummern.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Nummern.ogg
4707,953,Temperatur,Substantiv,De-Temperatur.ogg,NYI,NYI,temperature,https://commons.wikimedia.org/wiki/Special:FilePath/De-Temperatur.ogg
4708,953,"wünsch","Konjugierte Form","",NYI,NYI,"",""
4709,953,komplex,Adjektiv,De-komplex.ogg,NYI,NYI,complex,https://commons.wikimedia.org/wiki/Special:FilePath/De-komplex.ogg
4711,951,Mafia,Substantiv,De-Mafia.ogg,NYI,NYI,mafia,https://commons.wikimedia.org/wiki/Special:FilePath/De-Mafia.ogg
4712,951,"Verschwörung",Substantiv,"De-Verschwörung.ogg",NYI,NYI,"conspiracy, machination","https://commons.wikimedia.org/wiki/Special:FilePath/De-Verschwörung.ogg"
4713,951,"hinzufügen",Verb,"De-hinzufügen.ogg",NYI,NYI,add,"https://commons.wikimedia.org/wiki/Special:FilePath/De-hinzufügen.ogg"
4715,951,Kabine,Substantiv,De-Kabine.ogg,NYI,NYI,"cabin, cubicle",https://commons.wikimedia.org/wiki/Special:FilePath/De-Kabine.ogg
4719,949,Lola,Vorname,De-Lola.ogg,NYI,NYI,Lola,https://commons.wikimedia.org/wiki/Special:FilePath/De-Lola.ogg
4720,949,Pfad,Substantiv,De-Pfad.ogg,NYI,NYI,path,https://commons.wikimedia.org/wiki/Special:FilePath/De-Pfad.ogg
4721,949,erwecken,Verb,De-erwecken.ogg,NYI,NYI,"arouse, awaken, wake up, evoke",https://commons.wikimedia.org/wiki/Special:FilePath/De-erwecken.ogg
4722,948,"Gerücht",Substantiv,"De-Gerücht.ogg",NYI,NYI,rumour,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Gerücht.ogg"
4723,948,Diana,Vorname,De-Diana.ogg,NYI,NYI,"Dayanna, Deana, Deanna, Deanne, Diana, Diane, Dianna, Dianne",https://commons.wikimedia.org/wiki/Special:FilePath/De-Diana.ogg
4724,948,Musiker,Substantiv,De-Musiker.ogg,NYI,NYI,musician,https://commons.wikimedia.org/wiki/Special:FilePath/De-Musiker.ogg
4725,948,Rente,Substantiv,De-Rente.ogg,NYI,NYI,pension,https://commons.wikimedia.org/wiki/Special:FilePath/De-Rente.ogg
4726,948,Lkw,Substantiv,"}}, {{Audio",NYI,NYI,HGV,"https://commons.wikimedia.org/wiki/Special:FilePath/}}, {{Audio"
4727,947,kalten,"Deklinierte Form","",NYI,NYI,"",""
4728,947,Diensten,"Deklinierte Form","",NYI,NYI,"",""
4729,946,himmlisch,Adjektiv,De-himmlisch.ogg,NYI,NYI,celestial,https://commons.wikimedia.org/wiki/Special:FilePath/De-himmlisch.ogg
4730,946,Umschlag,Substantiv,De-Umschlag.ogg,NYI,NYI,"envelope, compress, poultice, turnover, transshipment, turn, jacket",https://commons.wikimedia.org/wiki/Special:FilePath/De-Umschlag.ogg
4732,946,Silber,Substantiv,De-Silber.ogg,NYI,NYI,"silver, silverware, silver medal",https://commons.wikimedia.org/wiki/Special:FilePath/De-Silber.ogg
4734,946,Kern,Substantiv,De-Kern.ogg,NYI,NYI,"core, nucleus, kernel",https://commons.wikimedia.org/wiki/Special:FilePath/De-Kern.ogg
4735,945,"rückwärts",Lokaladverb,"De-rückwärts.ogg",NYI,NYI,backwards,"https://commons.wikimedia.org/wiki/Special:FilePath/De-rückwärts.ogg"
4736,945,Absichten,"Deklinierte Form",De-Absichten.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Absichten.ogg
4739,944,betracht,"Konjugierte Form","",NYI,NYI,"",""
4740,944,Detektiv,Substantiv,De-Detektiv.ogg,NYI,NYI,"detective|detective (policeman), detect, detective",https://commons.wikimedia.org/wiki/Special:FilePath/De-Detektiv.ogg
4742,943,donner,"Konjugierte Form","",NYI,NYI,"",""
4743,943,"überbringen",Verb,"De-überbringen.ogg",NYI,NYI,deliver,"https://commons.wikimedia.org/wiki/Special:FilePath/De-überbringen.ogg"
4744,943,Geheimdienst,Substantiv,De-Geheimdienst.ogg,NYI,NYI,"secret service, intelligence service",https://commons.wikimedia.org/wiki/Special:FilePath/De-Geheimdienst.ogg
4745,942,Banditen,"Deklinierte Form",De-Banditen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Banditen.ogg
4747,942,Schuppen,"Deklinierte Form",De-Schuppen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Schuppen.ogg
4748,942,borg,"Konjugierte Form","",NYI,NYI,"",""
4749,942,aufsetzen,Verb,"",NYI,NYI,"put on, don, draft, draw up, sit up, touch down",""
4750,942,dichter,"Deklinierte Form","",NYI,NYI,"",""
4751,941,beiseite,Adverb,De-beiseite.ogg,NYI,NYI,aside,https://commons.wikimedia.org/wiki/Special:FilePath/De-beiseite.ogg
4752,941,Zeitverschwendung,Substantiv,"",NYI,NYI,"waste of time",""
4753,941,Nazis,"Deklinierte Form","LL-Q188 (deu)-Sebastian Wallroth-Nazis.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-Nazis.wav"
4754,941,Champion,Substantiv,De-Champion.ogg,NYI,NYI,champion,https://commons.wikimedia.org/wiki/Special:FilePath/De-Champion.ogg
4755,941,Vollidiot,Substantiv,"",NYI,NYI,wally,""
4756,940,Verhaftung,Substantiv,De-Verhaftung.ogg,NYI,NYI,arrest,https://commons.wikimedia.org/wiki/Special:FilePath/De-Verhaftung.ogg
4757,940,"Süßigkeiten","Deklinierte Form","De-Süßigkeiten.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Süßigkeiten.ogg"
4758,940,schneider,"Konjugierte Form","",NYI,NYI,"",""
4759,939,durchschneiden,Verb,"",NYI,NYI,"",""
4760,939,"vorübergehen",Verb,"De-vorübergehen.ogg",NYI,NYI,ignore,"https://commons.wikimedia.org/wiki/Special:FilePath/De-vorübergehen.ogg"
4761,939,zweifellos,Adverb,De-zweifellos.ogg,NYI,NYI,"beyond doubt, certainly, doubtless, doubtlessly, hands down, indubitable, indubitably, no doubt, strictly, undoubted, undoubtedly, undoubtful, unquestionably, without doubt",https://commons.wikimedia.org/wiki/Special:FilePath/De-zweifellos.ogg
4762,938,Ersatz,Substantiv,De-Ersatz.ogg,NYI,NYI,"replacement, substitute",https://commons.wikimedia.org/wiki/Special:FilePath/De-Ersatz.ogg
4763,938,beamen,Verb,"",NYI,NYI,"beam, project",""
4764,938,Zivilisten,"Deklinierte Form",De-Zivilisten.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Zivilisten.ogg
4765,938,bitter,Adjektiv,De-bitter.ogg,NYI,NYI,bitter,https://commons.wikimedia.org/wiki/Special:FilePath/De-bitter.ogg
4766,937,fliegend,Adjektiv,"",NYI,NYI,flying,""
4768,936,Skandal,Substantiv,De-Skandal.ogg,NYI,NYI,scandal,https://commons.wikimedia.org/wiki/Special:FilePath/De-Skandal.ogg
4769,936,Lieder,"Deklinierte Form",De-Lieder.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Lieder.ogg
4770,936,ernennen,Verb,"",NYI,NYI,"appoint, name",""
4772,935,"Anwältin",Substantiv,"De-Anwältin.ogg",NYI,NYI,advocate,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Anwältin.ogg"
4773,935,anstarren,Verb,"",NYI,NYI,stare,""
4774,935,Weltraum,Substantiv,De-Weltraum.ogg,NYI,NYI,space,https://commons.wikimedia.org/wiki/Special:FilePath/De-Weltraum.ogg
4775,935,Hai,Substantiv,De-Hai.ogg,NYI,NYI,shark,https://commons.wikimedia.org/wiki/Special:FilePath/De-Hai.ogg
4776,934,angeben,Verb,De-angeben.ogg,NYI,NYI,"state, quote, claim, indicate, give, represent, name, specify, declare, maintain, cite, boast, brag",https://commons.wikimedia.org/wiki/Special:FilePath/De-angeben.ogg
4777,934,elegant,Adjektiv,De-elegant.ogg,NYI,NYI,elegant,https://commons.wikimedia.org/wiki/Special:FilePath/De-elegant.ogg
4778,934,Verletzung,Substantiv,De-Verletzung.ogg,NYI,NYI,"injury, wound, lesion, violation, breach, infringement, offence",https://commons.wikimedia.org/wiki/Special:FilePath/De-Verletzung.ogg
4779,933,ausstellen,Verb,De-ausstellen.ogg,NYI,NYI,"exhibit, switch off, turn off",https://commons.wikimedia.org/wiki/Special:FilePath/De-ausstellen.ogg
4780,933,Einsamkeit,Substantiv,De-Einsamkeit.ogg,NYI,NYI,loneliness,https://commons.wikimedia.org/wiki/Special:FilePath/De-Einsamkeit.ogg
4781,933,aufwecken,Verb,De-aufwecken.ogg,NYI,NYI,"wake up, awake",https://commons.wikimedia.org/wiki/Special:FilePath/De-aufwecken.ogg
4782,932,"übermorgen",Adverb,"De-übermorgen.ogg",NYI,NYI,"the day after tomorrow","https://commons.wikimedia.org/wiki/Special:FilePath/De-übermorgen.ogg"
4783,932,"Büchern","Deklinierte Form","LL-Q188 (deu)-Sebastian Wallroth-Büchern.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-Büchern.wav"
4785,932,vornehm,Adjektiv,De-vornehm.ogg,NYI,NYI,"elegant, fashionable, stylish, distinguished, posh, aristocratic, of high rank, of gentle rank, of high birth, of gentle birth, stately, capital, principal, genteel",https://commons.wikimedia.org/wiki/Special:FilePath/De-vornehm.ogg
4786,931,Erfindung,Substantiv,De-Erfindung.ogg,NYI,NYI,invention,https://commons.wikimedia.org/wiki/Special:FilePath/De-Erfindung.ogg
4788,931,minus,Adverb,De-minus.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-minus.ogg
4789,930,hochgehen,Verb,"",NYI,NYI,"",""
4791,930,lustige,"Deklinierte Form","",NYI,NYI,"",""
4793,928,stamm,"Konjugierte Form","",NYI,NYI,"",""
4794,928,Notizen,"Deklinierte Form",De-Notizen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Notizen.ogg
4797,928,Handschuhe,"Deklinierte Form",De-Handschuhe.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Handschuhe.ogg
4800,927,Buchstaben,"Deklinierte Form",De-Buchstaben.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Buchstaben.ogg
4801,927,Banken,"Deklinierte Form",De-Banken.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Banken.ogg
4802,927,russische,"Deklinierte Form","",NYI,NYI,"",""
4803,927,verdrehen,Verb,De-verdrehen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-verdrehen.ogg
4804,926,bezaubern,Verb,"",NYI,NYI,"",""
4805,926,Republik,Substantiv,De-Republik.ogg,NYI,NYI,republic,https://commons.wikimedia.org/wiki/Special:FilePath/De-Republik.ogg
4806,926,erlangen,Verb,De-erlangen.ogg,NYI,NYI,"attain, achieve",https://commons.wikimedia.org/wiki/Special:FilePath/De-erlangen.ogg
4807,926,Ufer,Substantiv,De-Ufer.ogg,NYI,NYI,"bank, shore",https://commons.wikimedia.org/wiki/Special:FilePath/De-Ufer.ogg
4810,925,weibliche,"Deklinierte Form","",NYI,NYI,"",""
4811,925,Geschrei,Substantiv,De-Geschrei.ogg,NYI,NYI,outcry,https://commons.wikimedia.org/wiki/Special:FilePath/De-Geschrei.ogg
4812,925,fertigmachen,Verb,"",NYI,NYI,"complete, finish, beat up, bring somebody down, bully, wear someone down, dress up, get ready, blame oneself",""
4813,924,"abstürzen",Verb,"De-abstürzen.ogg",NYI,NYI,"crash, fall, crash, freeze","https://commons.wikimedia.org/wiki/Special:FilePath/De-abstürzen.ogg"
4814,924,komplette,"Deklinierte Form","",NYI,NYI,"",""
4815,924,mexikanisch,Adjektiv,De-mexikanisch.ogg,NYI,NYI,Mexican,https://commons.wikimedia.org/wiki/Special:FilePath/De-mexikanisch.ogg
4817,923,entwischen,Verb,De-entwischen.ogg,NYI,NYI,"escape, slip away",https://commons.wikimedia.org/wiki/Special:FilePath/De-entwischen.ogg
4818,922,Halle,Toponym,De-Halle.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Halle.ogg
4819,922,Kartoffeln,"Deklinierte Form",De-Kartoffeln.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Kartoffeln.ogg
4820,922,durchschauen,Verb,"",NYI,NYI,"see through, see clearly",""
4821,922,Raketen,"Deklinierte Form",De-Raketen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Raketen.ogg
4822,922,down,Adjektiv,De-down.ogg,NYI,NYI,down,https://commons.wikimedia.org/wiki/Special:FilePath/De-down.ogg
4823,921,Marion,Vorname,"",NYI,NYI,Marion,""
4824,921,Pille,Substantiv,De-Pille.ogg,NYI,NYI,"pill, birth control pill",https://commons.wikimedia.org/wiki/Special:FilePath/De-Pille.ogg
4825,921,"Veränderungen","Deklinierte Form","",NYI,NYI,"",""
4826,921,entziehen,Verb,De-entziehen.ogg,NYI,NYI,"revoke, extract, avoid, shirk",https://commons.wikimedia.org/wiki/Special:FilePath/De-entziehen.ogg
4828,920,Bezug,Substantiv,De-Bezug.ogg,NYI,NYI,"cover, relation, reference, delivery, supply, buying, subscription, drawing, payments",https://commons.wikimedia.org/wiki/Special:FilePath/De-Bezug.ogg
4829,920,zitieren,Verb,"",NYI,NYI,"cite, quote",""
4831,920,Nelson,Toponym,"",NYI,NYI,Nelson,""
4833,919,Produkt,Substantiv,De-Produkt.ogg,NYI,NYI,product,https://commons.wikimedia.org/wiki/Special:FilePath/De-Produkt.ogg
4834,919,belegen,Verb,De-belegen.ogg,NYI,NYI,"document, back, prove, source, substantiate, support, vouch, cover, occupy, allocate",https://commons.wikimedia.org/wiki/Special:FilePath/De-belegen.ogg
4836,919,Emotionen,"Deklinierte Form",De-Emotionen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Emotionen.ogg
4837,919,anmelden,Verb,De-anmelden2.ogg,NYI,NYI,"announce, register, make an appointment for, declare, log in",https://commons.wikimedia.org/wiki/Special:FilePath/De-anmelden2.ogg
4838,918,Bude,Substantiv,De-Bude.ogg,NYI,NYI,shack,https://commons.wikimedia.org/wiki/Special:FilePath/De-Bude.ogg
4839,918,Aliens,"Deklinierte Form","",NYI,NYI,"",""
4840,918,Tore,"Deklinierte Form",De-Tore.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Tore.ogg
4842,917,"äußer","Konjugierte Form","",NYI,NYI,"",""
4843,916,Schlachten,"Deklinierte Form",De-at-schlachten.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-schlachten.ogg
4844,916,Zombie,Substantiv,De-Zombie.ogg,NYI,NYI,zombie,https://commons.wikimedia.org/wiki/Special:FilePath/De-Zombie.ogg
4845,916,Hotels,"Deklinierte Form",De-Hotels.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Hotels.ogg
4846,916,Hinsicht,Substantiv,De-Hinsicht.ogg,NYI,NYI,"point of view",https://commons.wikimedia.org/wiki/Special:FilePath/De-Hinsicht.ogg
4847,916,rutschen,Verb,De-rutschen.ogg,NYI,NYI,"slide, slip",https://commons.wikimedia.org/wiki/Special:FilePath/De-rutschen.ogg
4848,915,fortschritt,"Konjugierte Form","",NYI,NYI,"",""
4849,915,schmeicheln,Verb,De-schmeicheln.ogg,NYI,NYI,"flatter, fawn",https://commons.wikimedia.org/wiki/Special:FilePath/De-schmeicheln.ogg
4850,915,Steak,Substantiv,De-Steak.ogg,NYI,NYI,steak,https://commons.wikimedia.org/wiki/Special:FilePath/De-Steak.ogg
4851,915,Kredit,Substantiv,De-Kredit.ogg,NYI,NYI,"loan, credit",https://commons.wikimedia.org/wiki/Special:FilePath/De-Kredit.ogg
4853,915,Konkurrenz,Substantiv,De-Konkurrenz.ogg,NYI,NYI,"competition, competitor|competitors",https://commons.wikimedia.org/wiki/Special:FilePath/De-Konkurrenz.ogg
4854,914,verdoppeln,Verb,De-verdoppeln.ogg,NYI,NYI,double,https://commons.wikimedia.org/wiki/Special:FilePath/De-verdoppeln.ogg
4856,914,Herrscher,Substantiv,De-Herrscher.ogg,NYI,NYI,"monarch, potentate, ruler",https://commons.wikimedia.org/wiki/Special:FilePath/De-Herrscher.ogg
4857,914,unterm,Kontraktion,"",NYI,NYI,"",""
4858,913,Kombination,Substantiv,De-Kombination.ogg,NYI,NYI,combination,https://commons.wikimedia.org/wiki/Special:FilePath/De-Kombination.ogg
4859,913,anfahren,Verb,"",NYI,NYI,"",""
4860,913,Route,Substantiv,De-Route.ogg,NYI,NYI,"itinerary, route",https://commons.wikimedia.org/wiki/Special:FilePath/De-Route.ogg
4861,913,Handys,"Deklinierte Form","",NYI,NYI,"",""
4862,912,scherzen,Verb,"",NYI,NYI,joke,""
4863,912,"räuspern",Verb,"}}, {{Prät.",NYI,NYI,"clear one's throat","https://commons.wikimedia.org/wiki/Special:FilePath/}}, {{Prät."
4864,912,ewige,"Deklinierte Form","",NYI,NYI,"",""
4865,912,glotzen,Verb,De-glotzen.ogg,NYI,NYI,"gape, gawk",https://commons.wikimedia.org/wiki/Special:FilePath/De-glotzen.ogg
4868,912,Anlage,Substantiv,De-Anlage.ogg,NYI,NYI,"disposition, attachment, enclosure, investment",https://commons.wikimedia.org/wiki/Special:FilePath/De-Anlage.ogg
4869,912,Devon,Substantiv,De-Devon.ogg,NYI,NYI,Devonian,https://commons.wikimedia.org/wiki/Special:FilePath/De-Devon.ogg
4870,911,Frosch,Substantiv,De-Frosch.ogg,NYI,NYI,frog,https://commons.wikimedia.org/wiki/Special:FilePath/De-Frosch.ogg
4872,911,Nest,Substantiv,De-Nest.ogg,NYI,NYI,"nest, hicksville",https://commons.wikimedia.org/wiki/Special:FilePath/De-Nest.ogg
4873,911,"Kühe","Deklinierte Form","De-Kühe.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Kühe.ogg"
4874,910,quasi,Adverb,De-at-quasi.ogg,NYI,NYI,"quasi, sort of, virtually",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-quasi.ogg
4876,910,abscheulich,Adjektiv,De-abscheulich.ogg,NYI,NYI,"abominable, hideous, horrible, despicable",https://commons.wikimedia.org/wiki/Special:FilePath/De-abscheulich.ogg
4877,910,Burg,Substantiv,De-Burg.ogg,NYI,NYI,"castle, citadel, lodge",https://commons.wikimedia.org/wiki/Special:FilePath/De-Burg.ogg
4878,909,Narbe,Substantiv,De-Narbe.ogg,NYI,NYI,"scar, grain, stigma, turf",https://commons.wikimedia.org/wiki/Special:FilePath/De-Narbe.ogg
4879,909,Lake,Substantiv,"",NYI,NYI,brine,""
4880,909,"Anhängen","Deklinierte Form","De-Anhängen.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Anhängen.ogg"
4881,909,"Geschäftsmann",Substantiv,"De-Geschäftsmann.ogg",NYI,NYI,businessman,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Geschäftsmann.ogg"
4882,909,Nachfragen,"Deklinierte Form","LL-Q188 (deu)-Sebastian Wallroth-Nachfragen.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-Nachfragen.wav"
4883,909,pierce,"Konjugierte Form","",NYI,NYI,"",""
4884,909,"schmeiß","Konjugierte Form","",NYI,NYI,"",""
4885,908,Kommentar,Substantiv,De-Kommentar.ogg,NYI,NYI,comment,https://commons.wikimedia.org/wiki/Special:FilePath/De-Kommentar.ogg
4888,907,ruder,"Konjugierte Form","",NYI,NYI,"",""
4889,907,streich,"Konjugierte Form","",NYI,NYI,"",""
4890,907,hinweisen,Verb,De-hinweisen.ogg,NYI,NYI,"point, portend",https://commons.wikimedia.org/wiki/Special:FilePath/De-hinweisen.ogg
4891,907,Assistent,Substantiv,De-Assistent.ogg,NYI,NYI,assistant,https://commons.wikimedia.org/wiki/Special:FilePath/De-Assistent.ogg
4892,907,enorm,Adjektiv,De-enorm.ogg,NYI,NYI,"enormous, tremendous",https://commons.wikimedia.org/wiki/Special:FilePath/De-enorm.ogg
4893,907,sexuelle,"Deklinierte Form","",NYI,NYI,"",""
4894,906,"Kätzchen",Substantiv,"De-Kätzchen.ogg",NYI,NYI,"kitten, kitty, catkin","https://commons.wikimedia.org/wiki/Special:FilePath/De-Kätzchen.ogg"
4895,906,Blenden,"Deklinierte Form","",NYI,NYI,"",""
4896,905,betrunken,Adjektiv,De-betrunken.ogg,NYI,NYI,"drunk, ebrious, full, drunken",https://commons.wikimedia.org/wiki/Special:FilePath/De-betrunken.ogg
4897,905,begehren,Verb,De-begehren.ogg,NYI,NYI,"desire, crave, covet, wish, long, yearn",https://commons.wikimedia.org/wiki/Special:FilePath/De-begehren.ogg
4898,904,Timing,Substantiv,"",NYI,NYI,timing,""
4899,904,"Wölfe","Deklinierte Form","De-Wölfe.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Wölfe.ogg"
4900,903,mittlerweile,Adverb,De-mittlerweile.ogg,NYI,NYI,"meanwhile, meantime",https://commons.wikimedia.org/wiki/Special:FilePath/De-mittlerweile.ogg
4901,903,Adler,Toponym,De-Adler.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Adler.ogg
4902,903,"Fähnrich",Substantiv,"De-Fähnrich.ogg",NYI,NYI,"officer cadet, ensign","https://commons.wikimedia.org/wiki/Special:FilePath/De-Fähnrich.ogg"
4903,902,scheibe,"Konjugierte Form","",NYI,NYI,"",""
4904,902,hervorragend,Adjektiv,De-hervorragend.ogg,NYI,NYI,"outstanding, excellent, superb",https://commons.wikimedia.org/wiki/Special:FilePath/De-hervorragend.ogg
4905,902,"erschieß","Konjugierte Form","",NYI,NYI,"",""
4906,902,Stall,Toponym,De-Stall.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Stall.ogg
4907,901,Fu,"Abkürzung","",NYI,NYI,"",""
4908,900,miese,"Deklinierte Form","",NYI,NYI,"",""
4910,899,Fischer,Substantiv,De-Fischer.ogg,NYI,NYI,"fisherman, fisher",https://commons.wikimedia.org/wiki/Special:FilePath/De-Fischer.ogg
4911,899,fit,Adjektiv,De-fit.ogg,NYI,NYI,fit,https://commons.wikimedia.org/wiki/Special:FilePath/De-fit.ogg
